ID,PRE/POST,ENVIRONMENT,FILENAME,HAS_ATTACHMENTS,REQUESTER,DURATION,CM_AM,CM_IT,CM_UAT,CM_TST5,CM_ST,CM_DEVE2E,CM_COURTESY,CM_PT,CM_CATALOG,CM_ACNDEVOPS,CM_PROD
733,POST,ALIGNMENT,20230510_MP_deactivate_and_reactivate_OS_ReconnectionNPP.txt,FALSE,giulia.colombo,5,,,x,,,,,,,,x
734,POST,ALIGNMENT,20230510_MP_deactivate_and_reactivate_OS_CambioConsistenzaNPP.txt,FALSE,giulia.colombo,5,,,x,,,,,,,,
735,POST,ALIGNMENT,2023.05.22_BugFixSFI_Post_Deploy_Steps.txt,FALSE,Chandra Reddy,2,,x,,,,,,,,,
737,POST,ALIGNMENT,20230622_MP_Attribute-Overrides-LLAMA_CTG.txt,FALSE,Damini Chauhan,5,x,,,,,,,,,,
738,POST,ALIGNMENT,2023.07.06_MP_Profile.txt,FALSE,chakkad,5,,,,,,,,,,,
846,PRE,ALIGNMENT,2023.06.22_LlamaFF4_ManualProcedures_PreDeploymentStep,FALSE,Damini Chauhan,5,,x,x,,,,,,,,
847,POST,ALIGNMENT,2023.06.22_LlamaFF4_ManualProcedures_PostDeploymentStep,FALSE,Damini Chauhan,5,,x,x,,,,,,,,
848,POST,ALIGNMENT,20230526_MP_FLS_orderField_NSPE.txt,FALSE,paolo.occhetto,5,x,x,x,x,x,x,,,,,
849,POST,ALIGNMENT,2023.07.26_attrubuteoverrides_Uptechdrop2_CTG.txt,FALSE,iman.moutaouakil,5,,,,,x,,,,,,
850,PRE,ALIGNMENT,2023.06.22_LlamaFF4_ManualProcedures_PreDeploymentStep.txt,FALSE,Damini Chauhan,5,,x,x,,,,,,,,
851,POST,ALIGNMENT,2023.06.22_LlamaFF4_ManualProcedures_PostDeploymentStep.txt,FALSE,Damini Chauhan,5,,x,x,,,,,,,,
853,POST,ALIGNMENT,2023.06.22_LlamaFF4_ManualProcedures_PostDeploymentStep_CTG.txt,FALSE,Damini Chauhan,10,,x,x,,,,,,,,
854,POST,ALIGNMENT,2023.06.22_CacheInspector_PostDeploymentStep.txt,FALSE,jayesh.birari,5,,x,x,x,,x,,,,,x
855,POST,ALIGNMENT,2023.06.22_NewSalesPEdrop2_Post_Deploy_Steps_CTG.txt,TRUE,Shridhar,20,,x,x,x,,x,,,,,
856,POST,ALIGNMENT,2023.06.22_NewSalesPEdrop2_Post_Deploy_Steps_CTG.txt,TRUE,Shridhar,15,,x,x,x,,x,,,,,
857,POST,ALIGNMENT,2023.07.26_OverrideDefinitionCorrection_Post_deploy_CTG.txt,FALSE,jayesh.birari,10,,x,,,,,,,,,
859,POST,ALIGNMENT,20230726_MP_deactivate_and_reactivate_OS_changeconsistencyNPP.txt,FALSE,giulia.colombo,5,,,x,,,,,,,,
