ID,PRE/POST,ENVIRONMENT,FILENAME,HAS_ATTACHMENTS,REQUESTER,DURATION,CM_AM,CM_IT,CM_UAT,CM_TST5,CM_ST,CM_DEVE2E,CM_COURTESY,CM_PT,CM_CATALOG,CM_ACNDEVOPS,CM_PROD
923,POST,ALIGNMENT,20231005_INC3339371_RiattivazioneOS.txt,FALSE,giancarlo.h.canillas,5,x,,,,,,,,,,
924,POST,ALIGNMENT,20231005_DataLoader_INC3378500.txt,TRUE,stefano.carannante,5,x,,,,,,,,,,
925,POST,ALIGNMENT,20231005_01_VARIOUS.txt,TRUE,ACN,5,x,,,,,,,,,,
926,POST,ALIGNMENT,20231005_02_CSV.txt,TRUE,ACN,10,x,,,,,,,,,,
927,POST,ALIGNMENT,20231005_02_CSV.txt,TRUE,ACN,15,x,,,,,,,,,,
928,POST,ALIGNMENT,20231004_DataLoader_NewCrm_IntegrationSettingParam_CXID2.txt,TRUE,abhay.singh.solanki,10,x,,,,,,,,,,
929,POST,ALIGNMENT,20231018_INC2926735_NewListView.txt,FALSE,giancarlo.h.canillas,5,,x,,,,,,,,,
930,POST,ALIGNMENT,Attributi_05_10.txt,TRUE,CANVASS,10,,x,,,,,,,,,
931,POST,ALIGNMENT,Attributi_bb_05_10.txt,TRUE,CANVASS,10,,x,,,,,,,,,
932,POST,ALIGNMENT,Catalog_05_10.txt,TRUE,CANVASS,5,,x,,,,,,,,,
933,POST,ALIGNMENT,Mapping_npp_05_10.txt,TRUE,CANVASS,5,,x,,,,,,,,,
934,POST,ALIGNMENT,20231005_Permission_CT23_ApexClass_Page.txt,FALSE,vinay.b.kumar.verma,15,,,,,x,,,,,,
935,POST,ALIGNMENT,20231006_CXID_6.1_AssignProfilePermission.txt,FALSE,simran.sunil,5,,x,,,,,,,,,
936,POST,ALIGNMENT,20231006_MP_OS_ID6.2_Activate.txt,FALSE,simran.sunil,5,,x,,,,,,,,,
937,POST,ALIGNMENT,DataLoader_NewCrm_IntegrationSettingParam_CXID6.1.txt,TRUE,simran.sunil,10,,x,,,,,,,,,
938,POST,ALIGNMENT,20231006_CXId19_AssignProfilePermission.txt,FALSE,abhay.singh.solankil,5,,x,,,,,,,,,
939,POST,ALIGNMENT,20231006_Case_Order_FLS_BL237.txt,FALSE,simran.sunil,5,,x,,,,,,,,,
940,POST,ALIGNMENT,20231006_DataLoader_Insert_BL237.txt,TRUE,simran.sunil,10,,x,,,,,,,,,
941,POST,ALIGNMENT,20231006_DataLoader_Insert_TrackingDigital_BL237.txt,TRUE,simran.sunil,10,,x,,,,,,,,,
942,POST,ALIGNMENT,20231006_RETENTION_DATALOADER_UPDATE_BL237.txt,TRUE,simran.sunil,10,,x,,,,,,,,,
943,POST,ALIGNMENT,20231006_DataLoader_Insert_COMPL100TV_LOV_Data.txt,TRUE,vinay.b.kumar.verma,10,,x,,,,,,,,,
944,POST,ALIGNMENT,20231006_DataLoader_Insert_NFS_Daignostica.txt,TRUE,vinay.b.kumar.verma,10,,x,,,,,,,,,
945,POST,ALIGNMENT,20231009_DataLoader_Insert_COMPL1003B_LOV.txt,TRUE,vinay.b.kumar.verma,10,,x,,,,,,,,,
946,POST,ALIGNMENT,20231006_DataLoader_Delete_COMPL100TV_LOV_Data.txt,FALSE,vinay.b.kumar.verma,10,,x,,,,,,,,,
947,POST,ALIGNMENT,20231009_FLS_COMPL100.txt,FALSE,vinay.b.kumar.verma,10,,x,,,,,,,,,
948,POST,ALIGNMENT,20231009_Asset_OrderItem_FieldMapping_COMPL100Drop3B.txt,FALSE,harshita.a.agarwal,10,,x,,,,,,,,,
951,POST,ALIGNMENT,20231009_NFSWorkOrderType_Insert_COMPL1003B.txt,TRUE,vinay.b.kumar.verma,5,,x,,,,,,,,,
952,POST,ALIGNMENT,20231009_FLS_LOV_WHS.txt,FALSE,simran.sunil,5,,x,,,,,,,,,
953,POST,ALIGNMENT,MP_BL316_AssignProfilePermission.txt,FALSE,saket.vilas.kolte,5,,x,,,,,,,,,
954,POST,ALIGNMENT,MP_BL316_PicklistValues_RT.txt,FALSE,saket.vilas.kolte,5,,x,,,,,,,,,
961,POST,ALIGNMENT,MP_20231009_Deactive_PB.txt,FALSE,niso.cassiano,10,,x,,,,,,,,,
963,POST,ALIGNMENT,20231009_Subscription_PageLayout_addPraticaFinanziariaFields.txt,FALSE,sabrina.spada,5,,x,,,,,,,,,
964,POST,ALIGNMENT,20231009_Order_PageLayout_addField_IdPratica.txt,FALSE,sabrina.spada,5,,x,,,,,,,,,
965,POST,ALIGNMENT,20231010_DataLoader_LovBL316.txt,TRUE,lorenzo.siciliano,10,,x,,,,,,,,,
966,POST,ALIGNMENT,OCTANE_119850_MP.txt,TRUE,asmita.kulkarni,2,,x,,,,,,,,,
967,POST,ALIGNMENT,20231011_MP_SCTASK1753032.txt,FALSE,c.ferrigno,5,,x,,,,,,,,,
968,POST,ALIGNMENT,20231006_NFS_R4.3_Masking.txt,FALSE,francesco.degaetano,5,,,,,x,,,,,,
969,POST,ALIGNMENT,20231018_119823.txt,FALSE,giancarlo.h.canillas,5,,,,,x,,,,,,
970,POST,ALIGNMENT,2023_10_11_OCTANE_120842.txt,TRUE,francesco.degaetano,5,,x,,,,,,,,,
971,POST,ALIGNMENT,20231012_DataLoader_UpdateTrackingDigital_BL237.txt,TRUE,simran.sunil,10,,x,,,,,,,,,
972,POST,ALIGNMENT,20231012_DataLoader_Insert_COMP100TV_LOV_Data.txt,TRUE,vinay.b.kumar.verma,10,,x,,,,,,,,,
973,POST,ALIGNMENT,20231012_GET_GLASSPPV_SCMS_Insert_NewCrm_IntegrationSettingParam__c.txt,TRUE,sabrina.spada,10,,x,,,,,,,,,
977,POST,ALIGNMENT,20231013_MP_OS_ReActivate.txt,FALSE,saket.vilas.kolte,3,,x,,,,,,,,,
978,POST,ALIGNMENT,20231011_DataLoader_INSERT_CT232.txt,TRUE,vinay.b.kumar.verma,5,,,,,x,,,,,,
979,POST,ALIGNMENT,20231018_01_VARIOUS.txt,TRUE,ACN,20,,,,,x,,,,,,
980,POST,ALIGNMENT,20231018_02_CSV.txt,TRUE,ACN,20,,,,,x,,,,,,
981,POST,ALIGNMENT,20231016_DataLoader_UpdateTrackingDigital_BL237.txt,TRUE,simran.sunil,10,,x,,,,,,,,,
982,POST,ALIGNMENT,20231016_Octane119941_Upsert.txt,TRUE,asmita.kulkarni,5,,x,,,,,,,,,
983,POST,ALIGNMENT,2023.09.11_MP_120941.txt,FALSE,giuseppe.bonura,5,,x,,,,,,,,,
984,POST,ALIGNMENT,20231018_MP_BL316_ViewReportPermissionSet.txt,FALSE,saket.vilas.kolte,5,,x,,,,,,,,,
985,POST,ALIGNMENT,20231018_HW_TrackingDigital_LOV_AM.txt,TRUE,simran.sunil,10,,x,,,,,,,,,
986,POST,ALIGNMENT,20231019_DataLoader_Update_COMPL1003B_LOV.txt,TRUE,vinay.b.kumar.verma,10,,x,,,,,,,,,
987,POST,ALIGNMENT,DataLoader_LOV_BL316_Upsert.txt,TRUE,saket.vilas.kolte,5,,x,,,,,,,,,
988,POST,ALIGNMENT,20231019_MP_BL316_PicklistValues_RT.txt,FALSE,saket.vilas.kolte,5,,x,,,,,,,,,
989,POST,ALIGNMENT,20231019_Permission_BL316_MyAllCasesApexClass.txt,FALSE,vinay.b.kumar.verma,5,,x,,,,,,,,,
991,POST,ALIGNMENT,20231020_MP_RTB_FLS.txt,FALSE,saket.vilas.kolte,5,,x,,,,,,,,,
992,POST,ALIGNMENT,20231020_PermissionSet_BL316ApexClassVfPage.txt,FALSE,vinay.b.kumar.verma,15,,x,,,,,,,,,
993,POST,ALIGNMENT,20231020_MP_OS_ID6.2_Activate.txt,FALSE,harshita.a.agarwal,5,,x,,,,,,,,,
994,POST,ALIGNMENT,20231023_FLS_ASSET_CT23.txt,FALSE,lorenzo.siciliano,5,,x,,,,,,,,,
995,POST,ALIGNMENT,20231024_DataLoader_NewCrm_IntegrationSettingParam_CXID6.1.txt,TRUE,simran.sunil,10,,x,,,,,,,,,
996,POST,ALIGNMENT,DataLoader_Update_NewCrm_IntegrationSettingParamCX_6_1.txt,TRUE,simran.sunil,10,,x,,,,,,,,,
998,POST,ALIGNMENT,2023_10_25_OCTANE_121119.txt,TRUE,francesco.degaetano,5,,x,,,,,,,,,
1000,POST,ALIGNMENT,2023_11_29_INC_SCTASK1657117.txt,FALSE,saurabh.anil.padmane,5,,x,,,,,,,,,
1001,POST,ALIGNMENT,20231026_Permission_CT23_ApexClass_Page.txt,FALSE,lorenzo.siciliano,5,,x,,,,,,,,,
1002,POST,ALIGNMENT,LOV_UPDATE_OCTANE121204.txt,TRUE,asmita.kulkatrni,5,,x,,,,,,,,,
1003,POST,ALIGNMENT,LOV_UPDATE_OCTANE121207.txt,TRUE,asmita.kulkatrni,5,,x,,,,,,,,,
1010,POST,ALIGNMENT,20230211_BL237_RETENTION_UPDATE.txt,TRUE,simran.sunil,10,,x,,,,,,,,,
1011,POST,ALIGNMENT,20231102_DataLoader_BL316_LOV_Data.txt,TRUE,lorenzo.siciliano,10,,x,,,,,,,,,
1012,POST,ALIGNMENT,20231102_DataLoader_BL316_LOV_Data2.txt,TRUE,lorenzo.siciliano,10,,x,,,,,,,,,
1013,POST,ALIGNMENT,20231103_BL316_UpdateLOV_Attivita.txt,TRUE,sabrina.spada,10,,x,,,,,,,,,
1014,POST,ALIGNMENT,20231103_BL316_UpdateLOV_CaseManagement.txt,TRUE,sabrina.spada,10,,x,,,,,,,,,
1015,POST,ALIGNMENT,20231103_BL316_UpdateLOV_MdC.txt,TRUE,sabrina.spada,10,,x,,,,,,,,,
1016,POST,ALIGNMENT,Attributi.txt,TRUE,CANVASS,5,,x,,,,,,,,,
1017,POST,ALIGNMENT,AttributiBB.txt,TRUE,CANVASS,5,,x,,,,,,,,,
1018,POST,ALIGNMENT,Delete_Catalog.txt,FALSE,CANVASS,5,,x,,,,,,,,,
1020,POST,ALIGNMENT,20231107_FEDERICO_Fields_FLS.txt,FALSE,simran.sunil,5,,,,,x,,,,,,
1021,POST,ALIGNMENT,20231107_Federico_MSISDN_FLS.txt,FALSE,simran.sunil,5,,,,,x,,,,,,
1022,POST,ALIGNMENT,20231107_Lead_Mobile_RT_Creation.txt,FALSE,simran.sunil,5,,,,,x,,,,,,
1023,POST,ALIGNMENT,20231107_Lead_Picklist_Stato_MobileRT.txt,FALSE,simran.sunil,5,,,,,x,,,,,,
1024,POST,ALIGNMENT,20231107_MP_Account_Federico_PickList_RT.txt,FALSE,simran.sunil,5,,,,,x,,,,,,
1025,POST,ALIGNMENT,20231103_BL316_UpdateLOV_Case2.txt,TRUE,sabrina.spada,10,,x,,,,,,,,,
1026,POST,ALIGNMENT,20231106_COMPL1003B_OrderOfferBLB_RT.txt,FALSE,simran.sunil,5,,x,,,,,,,,,
1027,POST,ALIGNMENT,Catalogo_20240122_ExportAffinium_Federico.txt,FALSE,salvatore.caroprese,5,,,,,x,,,,,,
1028,POST,ALIGNMENT,20231108_Delete_SIM_MobileNumber.txt,FALSE,harshita.a.agarwal,5,,,,,x,,,,,,
1029,POST,ALIGNMENT,20231108_NFSOctane121328_Upsert.txt,TRUE,saket.vilas.kolte,5,,,,,x,,,,,,
1031,POST,ALIGNMENT,20231107_COMPL1003B_OrderOfferBLB_RT.txt,FALSE,vinay.b.kumar.verma,5,,x,,,,,,,,,
1032,POST,ALIGNMENT,20231108_COMPL1003B_OrderOfferBLB_RT.txt,FALSE,vinay.b.kumar.verma,5,,x,,,,,,,,,
1033,POST,ALIGNMENT,20231108_COMPL100_LOV_Update.txt,TRUE,vinay.b.kumar.verma,5,,x,,,,,,,,,
1034,POST,ALIGNMENT,20231109_PermissionSet_COMPL100.txt,FALSE,vinay.b.kumar.verma,5,,x,,,,,,,,,
1035,POST,ALIGNMENT,20231108_DataLoader_BL316_LOV_Data3.txt,TRUE,lorenzo.siciliano,10,,x,,,,,,,,,
1036,POST,UAT,2023_11_28_Catalogo_OfferID_Cr66.txt,TRUE,salvatore.caroprese,5,,,x,,,,,,,,
1037,POST,UAT,20231130_ActivateOmniscript_COMPL100_SKY8039_English.txt,FALSE,sabrina.spada,5,,,x,,,,,,,,
1038,POST,UAT,20231201_Federico_TabNameChange.txt,FALSE,simran.sunil,5,,,x,,,,,,,,
1039,POST,UAT,20231208_MP_NPU_PicklistValues_RT.txt,FALSE,saket.vilas.kolte,3,,,x,,,,,,,,
1040,POST,UAT,20231212_LOV_UPSERT_LOV_ALIGNMENT.txt,TRUE,asmita.kulkatrni,5,,,x,,,,,,,,
1041,POST,UAT,20231213_LOV_UPSERT_LOV_ALIGNMENT.txt,TRUE,asmita.kulkatrni,5,,,x,,,,,,,,
1042,POST,UAT,20231215_INSERT_LOV_FTTH_ASSURANCE.txt,TRUE,abhay.singh.solanki,5,,,x,,,,,,,,
1043,POST,UAT,20231220_MP_Activate_PB.txt,FALSE,niso.cassiano,5,,,x,,,,,,,,
1044,POST,UAT,20231221_MP_VisibilityApexPage.txt,FALSE,niso.cassiano,5,,,x,,,,,,,,
1045,POST,UAT,20240104_MP_VisibilityApexPage.txt,FALSE,niso.cassiano,5,,,x,,,,,,,,
1046,POST,UAT,20240108_W041_AnnullamentoSwap_UpdateLOV.txt,TRUE,sabrina.spada,5,,,x,,,,,,,,
1350,POST,ALIGNMENT,20231110_MP_OS_ID6.2_Activate02.txt,FALSE,simran.sunil,5,,x,,,,,,,,,
1352,POST,ALIGNMENT,NFS_SelfDiagnosticsMapper_INSERT_OCTANE122187.txt,TRUE,asmita.kulkarni,5,,x,,,,,,,,,
1353,POST,ALIGNMENT,20231113_Octane121429.txt,FALSE,c.ferrigno,5,,x,,,,,,,,,
1354,POST,ALIGNMENT,NFS_SelfDiagnosticsMapper_UPDATE.txt,TRUE,asmita.kulkarni,2,,x,,,,,,,,,
1355,POST,ALIGNMENT,20231114_Permission_INC3439345.txt,FALSE,niso.cassiano,2,,x,,,,,,,,,
1356,POST,ALIGNMENT,20231129_INC3407812.txt,TRUE,shravani.khaparkar,5,,x,,,,,,,,,
1358,POST,ALIGNMENT,NFS_SelfDiagnosticsMapper_UPDATE.txt,TRUE,asmita.kulkarni,5,,x,,,,,,,,,
1359,POST,ALIGNMENT,20231129_INC3407818.txt,TRUE,giancarlo.h.canillas,5,,x,,,,,,,,,
1360,POST,ALIGNMENT,20231115_INC3475019.txt,FALSE,c.ferrigno,5,,x,,,,,,,,,
1361,POST,ALIGNMENT,20231115_INC3475019_CustomMetadata.txt,FALSE,c.ferrigno,5,,x,,,,,,,,,
1362,POST,ALIGNMENT,20231115_INC3475019_Rollback.txt,FALSE,c.ferrigno,5,,x,,,,,,,,,
1363,POST,ALIGNMENT,20231115_INC3475019_CustomMetadata_Rollback.txt,FALSE,c.ferrigno,5,,x,,,,,,,,,
1364,POST,ALIGNMENT,catalog_dimension.txt,TRUE,CANVASS,5,,x,,,,,,,,,
1365,POST,ALIGNMENT,Attributi_bb_16_11.txt,TRUE,CANVASS,5,,x,,,,,,,,,
1366,POST,ALIGNMENT,Catalog_16_11.txt,TRUE,CANVASS,5,,x,,,,,,,,,
1367,POST,ALIGNMENT,Mapping_npp_16_11.txt,TRUE,CANVASS,5,,x,,,,,,,,,
1368,POST,ALIGNMENT,20231116_DataLoader_LovBL316.txt,TRUE,sabrina.spada,90,,x,,,,,,,,,
1369,POST,ALIGNMENT,2023_11_17_PINC4_Promo_start_date_01_12.txt,TRUE,salvatore.caroprese,5,,x,,,,,,,,,
1370,POST,ALIGNMENT,20231120_SCTASK1800209.txt,FALSE,c.ferrigno,5,,x,,,,,,,,,
1371,POST,ALIGNMENT,20231129_121553.txt,TRUE,giancarlo.h.canillas,5,,x,,,,,,,,,
1372,POST,ALIGNMENT,20231121_NFS_R4.3_Masking.txt,FALSE,francesco.degaetano,5,,x,,,,,,,,,
1373,POST,ALIGNMENT,Delete_Catalog_29_11.txt,FALSE,CANVASS,5,,x,,,,,,,,,
1374,POST,ALIGNMENT,Catalog_29_11.txt,TRUE,CANVASS,5,,x,,,,,,,,,
1375,POST,ALIGNMENT,modify_ple.txt,FALSE,CANVASS,5,,x,,,,,,,,,
