ID,PRE/POST,ENVIRONMENT,FILENAME,HAS_ATTACHMENTS,REQUESTER,DURATION,CM_AM,CM_IT,CM_UAT,CM_TST5,CM_ST,CM_DEVE2E,CM_COURTESY,CM_PT,CM_CATALOG,CM_ACNDEVOPS,CM_PROD
162,POST,ALIGNMENT,22.12.22_attributeOverrides_Upetchdrop2.txt,FALSE,iman.moutaouakil,15,,x,x,,,,,,x,,
163,POST,ALIGNMENT,2023.17.01_Migration_fee_npp_product.txt,FALSE,iman.moutaouakil,15,,x,x,,,,,,x,,
164,POST,ALIGNMENT,2023.03.29_Reconnection_Drop2_MP.txt,FALSE,jayesh.birari,20,,x,x,,,,,,,,
166,POST,ALIGNMENT,20230222_MP_Disattivare_e_riattivare_OS_ReconnectionNPP.txt,FALSE,kristian.monaco,5,,x,,,,,,,,,x
167,POST,ALIGNMENT,2023.03.29_MP_Disattivare_e_riattivare_OS_CambioConsistenzaNPP.txt,FALSE,giulia.colombo,5,,x,x,,,,,,,,x
168,POST,ALIGNMENT,2023.03.29_MP_Disattivare_e_riattivare_OS_ConversioneProvaSky.txt,FALSE,giulia.colombo,5,,x,x,,,,,,,,x
169,POST,ALIGNMENT,2023.03.29_MP_Disattivare_e_riattivare_OS_RiconversioneProvaSky.txt,FALSE,giulia.colombo,5,,x,x,,,,,,,,x
170,PRE,ALIGNMENT,2023.03.29_LlamaFF3_ManualProcedures_PreDeploymentStep.txt,FALSE,Damini Chauhan,5,,x,x,,,,,,,,
171,POST,ALIGNMENT,2023.03.29_LlamaFF3_ManualProcedures_PostDeploymentStep.txt,FALSE,Damini Chauhan,10,,x,x,,,,,,,,
172,POST,ALIGNMENT,20230329_TemplateStampa_ImportData.txt,FALSE,giulia.colombo,5,,x,x,,,,,,,,x
173,POST,ALIGNMENT,20230329_PermissionSetAssignement_ObjectConsistenza__c.txt,FALSE,giulia.colombo,10,,x,x,,,,,,,,x
174,POST,ALIGNMENT,2023.03.29_MP_Disattivare_e_riattivare_OS_DigitalSignature.txt,FALSE,giulia.colombo,5,,x,x,,,,,,,,x
175,POST,ALIGNMENT,20230329_LOV_ImportSKY8020NPP.txt,FALSE,giulia.colombo,10,,x,x,,,,,,,,x
176,POST,ALIGNMENT,2023.03.29_Compassionate_ManualProcedures_PostDeploymentStep.txt,FALSE,Nicolle Martinez,5,,x,x,,,,,,,,
177,POST,ALIGNMENT,20230329_MP_Records-Terminali-Pagamento.txt,TRUE,alessandro.ferrari,10,,x,x,,,,,,,,x
178,POST,ALIGNMENT,20230329_Disattivare_e_Riattivare_Layout.txt,FALSE,emanuele.coppola,5,,,,,,,,,,,x
179,PRE,ST|PROD,2023.05.10_NewSalesPe_Pre_Deploy_Steps.txt,FALSE,Arunkumar gunasekaran,10,,,,x,x,,,,,,
180,POST,ST|PROD,2023.05.10_NewSalesPe_Post_Deploy_Steps.txt,FALSE,Arunkumar gunasekaran,10,,,,x,x,,,,,,
181,POST,ALIGNMENT,MP_InsertRuleAssignementPromoGradino.txt,TRUE,Federico.Santurbano,5,x,,,,,,,,,,
182,PRE,ALIGNMENT,2023.04.20_MINOR_LlamaFF3.1_ManualProcedures_PreDeploymentStep.txt,FALSE,Damini Chauhan,5,,x,x,,,,,,,,
183,POST,ALIGNMENT,2023.04.20_MINOR_LlamaFF3.1_ManualProcedures_PostDeploymentStep.txt,FALSE,Damini Chauhan,20,,x,x,,,,,,,,
263,POST,ALIGNMENT,20230117_TechUp2_CatalogDimensions.txt,FALSE,iman.moutaouakil,10,,x,x,,,,,,x,,
264,POST,ALIGNMENT,22.12.22_attributeOverridesUpetchdrop2.txt,FALSE,iman.moutaouakil,15,,x,x,,,,,,x,,
267,POST,ALIGNMENT,2023.05.10_attributeOverrides_Promos_Upetchdrop2.txt,FALSE,iman.moutaouakil,15,,x,x,,x,,,,x,,
288,POST,ALIGNMENT,02052023_Disattivare_Riativare_OS_ActivateTVContract.txt,FALSE,kristian.monaco,5,,,x,,x,,,,,,x
289,POST,ALIGNMENT,20230510_MP_deactivate_and_reactivate_OS_ReconnectionNPP.txt,FALSE,giulia.colombo,5,,,x,,,,,,,,x
290,POST,ALIGNMENT,20230510_MP_deactivate_and_reactivate_OS_CambioConsistenzaNPP.txt,FALSE,giulia.colombo,5,,,x,,,,,,,,
291,POST,ALIGNMENT,2023.05.22_BugFixSFI_Post_Deploy_Steps.txt,FALSE,Chandra Reddy,2,,x,,,,,,,,,
292,POST,ALIGNMENT,2023.07.06_MP_Profile.txt,FALSE,chakkad,5,,,,,,,,,,,
400,PRE,ALIGNMENT,2023.06.22_LlamaFF4_ManualProcedures_PreDeploymentStep,FALSE,Damini Chauhan,5,,x,x,,,,,,,,
